  ,C16:0,C16:1w9,C16:1w7,C17:0,C17:1w8,C18:0,C18:1w9,C18:1w7,C18:2w6,C18:3w3,C20:0,C20:1w9,C22:0,C24:0,Squalene 
VB37 ,15.68,0.11,1.18,0.07,0.11,2.71,62.07,2.54,14.05,0.59,0.45,0.25,0.13,0.06,0.55 
VB38 ,15.11,0.11,1.13,0.08,0.13,2.77,63.52,2.49,13.2,0.58,0.45,0.24,0.13,0.06,0.62 
VB39 ,13.88,0.11,0.95,0.08,0.13,2.72,68.03,2.28,10.34,0.59,0.44,0.26,0.13,0.06,0.77 
VB40 ,12.81,0.12,0.98,0.09,0.16,2.24,70.66,2.58,8.78,0.72,0.39,0.29,0.12,0.06,0.7 
VB63 ,13.26,0.12,1.11,0.09,0.17,2.4,68.68,2.61,10.07,0.62,0.42,0.27,0.12,0.06,0.85 
VB64 ,14.46,0.1,1.76,0.05,0.1,2.06,67.61,3.33,8.98,0.68,0.4,0.28,0.13,0.06,0.99 
VB65 ,13.02,0.12,1.04,0.09,0.17,2.32,68.9,2.62,10.12,0.67,0.43,0.31,0.13,0.06,0.97 
VB666,13.91,0.11,1.18,0.07,0.13,2.56,65.21,2.62,12.72,0.61,0.44,0.25,0.13,0.06,0.82 
VB67 ,14.42,0.11,1.18,0.07,0.11,2.63,64.2,2.61,13.2,0.58,0.45,0.25,0.13,0.06,0.77 
VB68 ,14.88,0.09,1.16,0.05,0.08,2.6,63.22,2.6,13.93,0.52,0.44,0.24,0.12,0.07,0.7 
VB71 ,14.29,0.1,1.19,0.06,0.11,2.41,64.64,2.73,13.04,0.56,0.42,0.26,0.12,0.07,0.79 
VB72 ,12.87,0.11,1.11,0.08,0.14,2.38,69.75,2.56,9.47,0.65,0.42,0.28,0.12,0.06,0.86 
VB73 ,12.77,0.11,1.15,0.08,0.14,2.33,70.18,2.65,9.07,0.65,0.41,0.28,0.12,0.06,0.82 
VB74 ,13.42,0.11,1.2,0.09,0.15,2.41,67.7,2.73,10.68,0.64,0.42,0.27,0.12,0.06,0.84 
VB77 ,14.53,0.1,1.17,0.06,0.09,2.57,63.46,2.64,13.96,0.56,0.44,0.24,0.12,0.06,0.76 
VB78 ,14.08,0.11,1.11,0.06,0.1,2.56,64.53,2.59,13.4,0.58,0.44,0.25,0.13,0.06,0.8 
VB80 ,14.45,0.1,1.18,0.07,0.13,2.57,64.29,2.64,13.13,0.57,0.43,0.24,0.13,0.07,0.79 
VB82 ,13.65,0.12,1,0.07,0.11,2.7,65.79,2.39,12.7,0.57,0.45,0.25,0.13,0.07,0.76 
